nn_parameters_nonrobustiToffoli,nn_parameters_OuterX,nn_parameters_middleX,nn_parameters_robustiToffoli,nn_parameters_robustiCZ
-0.8032180729,0.2162134286,1.152550381,0.4495015213,8.103445
2.674756259,-0.04905117005,0.0405908627,-3.097420916,-2.9757395
0.8331568747,0.1409475588,2.994001192,0.2581326443,2.6519732
-0.1258150106,-0.1369387714,-0.4462017347,0.4068539135,1.8196923
-0.06445523392,-0.0252650865,0.7206592421,-1.744156135,-1.7031147
0.9754509224,0.05176048972,0.03367530705,0.9998420834,-2.6278532
-2.103600845,-0.2615521776,0.3784272896,-0.4669474686,-1.0945204
-1.241903786,-0.2054443419,0.4608869696,0.8464632485,-5.420847
1.005067349,-0.4213428378,-1.488748452,2.469040674,15.234673
0.9016526695,0.7135693249,-1.803860932,0.3571556561,-0.7279268
-0.3143578972,-0.2264683506,-0.4973966087,2.088668778,3.1726935
-1.122136035,-0.1256408719,-1.437047864,2.176632623,0.99757785
-0.7609345737,-0.3033721991,-1.16297466,1.872874943,-4.383084
-1.508650486,0.511191402,-1.772215264,0.8439872025,-7.2819433
-1.155750788,0.6087044081,1.827684036,2.431704436,-5.259519
0.5046755756,-0.2316235056,-1.841792118,-0.2758014879,6.186074
-0.9483787843,-0.5782161755,-1.75756176,-2.99216398,-0.9150812
0.03153913753,-0.2536392582,1.36206622,-1.882936689,-5.138538
-0.384209513,-0.354452461,-0.7408768629,0.5980995639,6.0149407
0.9790816866,0.4701191685,0.6566431991,-1.012152093,1.1304938
0.9609217081,0.5638813598,1.849957362,-2.410444759,1.0504165
0.6528494092,0.2768196431,-0.5681976325,-1.971224089,4.1219125
0.2805462238,-0.5476734811,0.01097696188,0.2152275824,-4.092192
-0.2804718483,-0.8391925153,1.680914679,-0.2046402541,0.63418764
-1.025481394,-0.4108170125,0.346207077,2.732505893,-10.56834
-0.6250661461,0.5115285401,1.836536611,2.181610367,2.2125611
1.238615067,-0.5624479841,-2.202110103,-2.301609969,-3.85871
-1.742864315,0.647045748,-0.822328457,1.820273816,0.801422
0.3384618879,-0.3194172499,0.8398183592,1.168452514,6.365926
-1.607733036,-0.6429016763,2.385917336,-0.9503301541,3.992407
0.6706175723,-0.09978192043,-0.4472994515,-1.62446704,0.0861661
-0.8145870423,0.01198582291,-0.458008512,-1.819844529,-0.14343601
0.2496993967,-0.02100720513,0.08363016294,0.01281565226,-5.08635
-0.8642193551,-0.09766476734,0.6638505441,1.123559464,3.3263252
-0.3634958336,-0.03539199296,0.3266752493,-0.2889317634,-1.9760284
-0.56728354,-0.07839444804,-0.7386045703,0.1647566688,-3.3725739
0.04150978261,0.1978989727,0.5165514101,-0.375804905,0.22414806
-0.4297988305,-0.1185105965,-0.1526524466,-0.174121268,2.9048278
0.9892918206,0.07024437151,0.5494308883,0.9518277512,1.9007915
0.06060128759,0.1473346995,-0.1853575335,-1.123231117,5.2066364
-0.4420816181,-0.1205164386,0.6870799052,-0.5489988239,-9.484276
0.5057661651,-0.4002462579,0.6102929012,-1.635270528,-0.54252964
-0.896814894,-0.0121940337,-0.3711315575,-0.8120916711,0.42665938
0.4655262729,-0.2787879452,-0.3664439788,-1.176181369,-3.7278016
-0.2528647122,-0.04808873232,0.0398788673,0.1406735278,4.4661646
1.302675152,-0.2980275745,-0.2437365677,-1.413017987,4.997672
0.5726076836,-0.3881880939,-0.3145741326,-0.8244740134,3.2155087
-0.1120658855,-0.2080692667,-0.09543912746,-0.4058197446,-1.8938397
0.7594598296,0.2797135905,-0.06916168916,1.736375292,0.29817888
0.4551175528,0.07495996216,0.4400322061,0.5216768176,3.1265407
-0.1396910919,-0.1535097492,0.5359328734,1.87653764,-2.711831
-0.3097393705,-0.002214196069,0.2368981215,0.1208517279,-1.9515147
-0.3655873795,0.07124413493,0.2474874282,1.666667684,-0.3163054
-1.260775647,0.03278479769,0.2252745351,0.6506308934,-2.182104
-0.2661855178,0.07601832376,-0.1248555581,1.603078053,5.1063123
-0.4358359995,0.1820941131,0.2803982078,-0.1637097623,-1.2238435
-0.2573244104,-0.0294225032,0.02628877208,-0.9862002486,9.01928
0.03501642664,-0.1046252208,0.1203168564,0.1883367838,-1.7127205
-0.4273861703,0.1613067181,0.3002607974,-0.7860341255,3.8856652
0.8521574548,0.04101202204,-0.03468304685,-0.6572681632,3.410258
-0.7103878486,0.1093858971,0.3203451452,-0.6791736445,-3.6655042
0.8618450196,0.0983565419,-0.1097716964,1.11227896,-5.034403
-0.2644050607,-0.1061783769,-0.04233186148,0.8860360327,0.058550898
-0.0991456704,-0.1194547872,0.03438088722,0.2620867177,1.2475091
0.03492555189,0.2423609894,-0.256255477,0.2473716129,-0.434072
0.155186841,-0.1601008121,0.2765251944,0.1278402027,-0.9590902
0.1200405236,0.2462284549,-0.1605070275,0.2149150007,0.18338756
-0.2648264289,0.2783442425,-0.3404387545,0.3258872139,-0.12506059
0.3492065788,0.09445574834,0.07284810396,0.04113881062,-0.058558404
0.2024371129,0.1923198018,0.03721610638,0.2971737568,-0.45722294
0.06143373734,0.01308058818,0.3292905628,0.1234334175,0.43403155
-0.1051547081,-0.1653024269,-0.1245718498,0.08524060071,-1.1223131
-0.05409552404,-0.08864795679,0.1089658371,0.1702717065,-0.06721
-0.130731853,0.003721822445,0.02664311909,0.2833884102,0.67602974
-0.3324127872,0.2255761371,-0.07421688827,0.2089539537,0.38661107
-0.07526704423,0.2077130675,0.2414600959,0.01016087727,0.29452094
-0.3213008541,0.07730284542,0.4893332117,-0.006696526512,-0.25966445
-0.1733636026,-0.2705842049,0.1954563687,0.190176352,-0.028468333
-0.01231969049,0.0462100611,0.00737330514,-0.2636587823,-1.3151497
-0.6345708025,0.2185531159,-0.235319901,-0.1251121685,0.47574267
-0.2404436346,-0.06156870831,0.3653529363,0.2723069017,-0.15529455
-0.271017119,-0.2356924344,0.1208169952,-0.04013130988,-0.6558348
0.2052438681,0.2406234706,0.06331243056,0.04201181381,0.29028863
0.09913528229,8.38E-05,0.1968144197,-0.1008363604,-0.24508543
-0.1558046589,0.06630302041,0.2272371733,-0.2610506566,12.395691
0.06783171609,0.1532672173,-0.1446455909,-0.2164581214,-0.07093227
-0.239896393,0.2548960379,0.1520583937,-0.2455759186,0.5752734
-0.05586024869,0.02767452366,0.1828391617,0.2137313016,-1.3343822
-0.1806048239,-0.1391712159,-0.1732964878,0.09614218962,0.8672532
0.2951501024,-0.1927540741,-0.09313666754,0.1946207593,-0.034790378
-0.1058179462,0.2677125949,-0.2735901288,0.1706585584,0.06900551
-0.3203410221,-0.2733651402,0.2274426009,0.009899646197,0.06622539
-0.4102594197,-0.09089891305,0.05593640599,-0.2403051335,0.9389366
-0.3097609276,-0.1912943823,0.164980021,-0.1592748161,-0.42417383
0.1919963257,-0.1142670637,0.1181324425,0.0737521097,0.16312505
0.2817783978,0.1679187458,0.2647906427,0.1920010489,0.30542696
0.05892712121,0.2330173317,0.7267195126,-0.6133016922,0.082538836
